สวัสดีค่ะ,0
กินไรดี,0
หิวว,-1
สวัสดีค่ะ,0
ทักค่ะ,0
สวัสดีค่า,0
สวัสดีครับ,0
hello,0
มีเมนูแนะนำไหมครับ,0
ผัดเผ็ดปลาดุกครับ,0
มีลาบกุ้งค่ะ,0
ร้านเปิดกี่โมง,0
ร้านปิดกี่โมง,0
ร้านอยู่ที่ไหน,0
ทางร้านจัดส่งเวลาใดบ้าง,0
มีค่าบริการจัดส่งอย่างไร,0
เปิดกี่โมงคะ,0
ปิดกี่โมง,0
ร้านเปิดวันไหนบ้าง,0
หิวมากกก แนะนำอาหารหน่อย,-1
ร้านอยู่ที่ไหนคะ,0
สั่งอาหารได้มั้ย,0
มีเบอร์โทรศัพท์ติดต่อทางร้านไหมคะ,0
ขอเบอร์หน่อย,0
ร้านไปทางไหน,0
เมนูแนะนำ,0
ต้มยำกุ้งอร่อยมาก ขอสั่งอีกรอบค่ะ,1
ขอจองโต๊ะล่วงหน้าต้องทำยังไงคะ,0
แนะนำอาหารคลีนหน่อย,0
จะสั่งอาหารต้องทำยังไงคะ,0
สั่งออนไลน์มีโค้ดส่วนลดไหม,0
ร้านนี้อร่อยป่าววววว,0
อะไรอร่อยบ้าง,0
เลือกระดับความเผ็ดของอาหารได้ไหม,0
ขอสั่งเครื่องดื่มหน่อย,0
ขอสั่งน้ำหน่อยค่า,0
หาร้านไม่เจอค่ะ,-1
อาหารใกล้ถึงยังคะ รอนานแล้ว,-1
มีส่วนลดมั้ยคะ,0
ทักค่ะ,0
มีไรกินมั่ง,0
มีบริการส่งไหมคะ,0
ค่าส่งคิดยังไง,0
สวัสดี,0
หวัดดีจ้า,0
สั่งอาหารหน่อยคะ,0
จองโต๊ะได้มั้ยครับ,0
ดีจ้า,0
แนะนำอาหารหน่อย,0
แกงส้มเผ็ดจัง,-1
ทำไมแกงส้มได้เนื้อปลาน้อยจังคะ,-1
ครั้งที่แล้วแซ่บจืดมาก,-1
ขอสั่งต้มแซ่บแบบเผ็ดๆที่นึงค่ะ,0
ทักค่ะ ตอนนี้จองโต๊ะได้มั้ย,0
อาหารไม่อร่อยเลย รสชาติแย่มาก,-1
รออาหารนานมากเลย เร็วๆหน่อยได้ป่ะ,-1
ใส่กับข้าวมาน้อยมาก,-1
ไม่สมราคาเลย,-1
มีอะไรอร่อยบ้างคะ,0
มีอะไรแนะนำบ้างคะ,0
มีอาหารแบบเซ็ตไหมคะ,0
อเป็นโรคเบาหวานแนะนำอาหารหน่อยค่ะ,0
มีเมนูเส้นบ้างไหมคะ,0
รออาหารนานมากค่ะ,-1
อทำไมข้าวเเข็งจัง,-1
วันหลังใส่ผักน้อยๆได้มั้ยคะ,-1
ข้าวผัดใส่ผักน้อยจัง,-1
คราวหน้าห่อใบตองแทนกล่องโฟมได้ไหมคะ,-1
กสงข้าวผัดกุ้ง ทำไมได้ข้าวผัดผักคะ?,-1
ที่จอดรถเต็มตลอดเลยขยายที่ได้ไหม แงงงงง,-1
ราดหน้าเค็มจนไปฟอกไตเลยค่ะ,-1
ราดหน้าหวานเหมือนใส่น้ำตาลไปครึ่งโหลเลย,-1
อาหารอร่อยมากกก,1
จะมาสั่งอีกนะค้าบ,1
ต้มยำอร่อยเวอร์,1
สวัสดีค่ะ,0
หิวจังงงง,-1
มีไรให้ทานบ้าง,0
มีชาบูขายไหมคะ,0
ทักค่า,0
ตอนนี้ร้านเปิดป่าวคะ,0
อยากจะจองโต๊ะวันพรุ่งนี้ึค่ะ,0
กะเพราเลิศมากเลยค่ะ,1
ขอสั่งอีกจานค่ะ,1
ไม่อร่อยเลย,-1
วันนี้มีอะไรอร่อยบ้างงง,0
โต๊ะว่างมั้ย,0
ราคาแพงโคตรๆ,-1
ส้มตำแซ่บมาก เยี่ยมมม,1
ราดหน้าหมูนุ่มมาก,1
กระเพรารสชาติดีค่ะ แต่ใส่ถั่วฝักยาวเยอะไปหน่อย,1
พรุ่งนี้ร้านเปิดไหมคะ,0
ผัดผักรสชาติเลวร้ายมากค่ะ มีแต่ผัก,-1
จะสั่งออนไลน์ต้องทำยังไงคะ,0
ตอนนี้ไปที่ร้านได้มั้ย,0
ร้านเปิดกี่,0
อยากโดนช้อนแกงจังเลยค้าบบบ,-1
โหลๆจองโต๊ะหน่อยจ้า,0
สั่งข้าวหน่อย,0
หิวมากกกๆๆ ข้าวจะมายัง,-1
มีเมนูแนะนำมั้ยคะ,0
ที่ร้านบริการแย่มาก,-1
พนักงานเสียมารยาทมาก,-1
ข้าวบูดรึป่าวเหม็นมาก,-1
แกงเลียงรสชาติกลมกล่อมสุดๆ,1
กินข้าวร้านนี้แล้วท้องเสีย แย่,-1
สวัสดี,0
ดีจ้าาา,0
มีอะไรกินบ้าง,0
ขอสั่งก๋วยเตี๋ยวคั่วไก่ไม่ใส่ผักค่ะ,0
ไม่ชอบที่ใส่ผักกาดมาในแกงจืด,-1
ั่งอาหารหน่อยค่ะ,0
สั่งอาหารมาน่าทานมาก,1
แต่รสชาติห่วยโคตร,-1
ขอจองโต๊ะได้มั้ยคะ,0
มีบริการอะไรบ้าง,0
ทำอะไรได้บ้าง,0
ราคาโอเคแต่รสชาติควรปรับปรุง,-1
หวัดดีจ้าา,0
hi,0
ร้านอยู่ไหน,0
ข้าวต้มอร่อยมากค่ะ,1
แต่ชาเย็นหวานเกิน,-1
ช่วยปรับปรุงหน่อยนะ,-1
ร้านนี้มีคนละครึ่งไหมคะ,0
มีเราชนะเปล่า,0
ร้านเปิดตีเท่าไหร่,0
Hello,0
หิวจังเลย,-1
ร้านมีกี่สาขา,0
ขอเบอร์โทรร้าน,0
จองผ่านเฟสบุ๊คได้ไหมคะ,0
อาหารอร่อยดี,1
ขนมดีงามมาก,1
ฮัลโหลลล,0
ร้านเปิดตอนไหน,0
ขนมดีเทลประณีตมาก,1
ร้านทำเครื่องดื่มห่วยมาก,-1
ข้าวกินไม่ได้เลย,-1
เจอข้าวบูดบ่อยมาก,-1
ขนมอร่อยได้มาตรฐาน,1
หม้อไฟทะเลคือดีที่สุด,1
ขอดูเมนูหน่อย,0
ไม่พอใจที่พนักงานทำหน้าไม่ดีใส่,-1
ขอสั่งข้าวผัดกุ้ง1ที่จ้า,0
ทักกก,0
ต้มยำปลากลมกล่อมมาก,1
แต่อย่างอื่นคือเน่า แย่สุด,-1
กินไม่ได้เลยนะ,-1
สุกี้ได้เยอะมากสุดยอดด,1
สั่งวันนี้ได้กินวันไหน ช้ามาก,-1
ทำไมอาหารแพงจัง,-1
อร่อยถูกปากมาก,1
ดี,1
ของคาวดีมาก,1
น้ำจิ้มแซ่บๆ อร่อยค่ะ,1
ปลาส้มรสนัวมาก มันดียย,1
ร้านนี้เยี่ยมยอด สุดยอด ตบมือให้เลยค่ะ,1
แกงไตปลารสชาติถูกปากมาก,1
ถูกใจไก่กรอบมากก,1
ร้านเปิดยัง,0
ทำไมราคาแพง,-1
อาหารรสชาติงั้นๆ,-1
แม่ผมทำอร่อยกว่าร้านคุณอีก,-1
ขายข้าวกล่องไหมคะ,0
รับทำข้าวกล่องไหม,0
วันนี้เปิดร้านไหม,0
ทำไมรสชาติแย่ขนาดนี้,-1
มี่กี่สาขา,0
เจอขาแมลงสาปในต้มยำ   โคตรแย่,-1
ร้านไปยังไง,0
กาแฟจืดไปหน่อยนะ ปรับปรุงด้วย,-1
ให้ห้าดาวเลยค่ะ,1
หวัดดีค่า,0
อาหารทุกอย่าง?ดีมาก,1
บรรยากาศสบาย,1
ทำไมเมนูมีน้อยจังเบื่อแล้วว,-1
ข้าวที่สั่งมาเหม็นๆนะ บูดรึป่าว,-1
ส้มตำรสชาตินัวมากกก ดียย์,1
หิวข้าวแล้ว!! เมื่อไหร่จะมา,-1
ตำปูม้าไม่สด,-1
ไม่ชอบไม่โอเค?,-1
เลิกทำร้านอาหารเถอะ,-1
รสชาติแย่มาก,-1
ปลาทอดกรอบนอกนุ่มใน,1
อาหารอร่อยไม่เหมือนใคร,-1
หมูแข็งเกิ้น เคี้ยวไม่ได้,-1
ว้าวว ไม่เคยกินอะไรอร่อยขนาดนี้มาก่อนเลย,1
ต้มส้มเค็มไปหน่อย,-1
ผัดผักอร่อยมากกก,1
ไม่อยากกินร้านนี้แล้ว,-1
ไม่อยากใช้บริการแล้ว,-1
ไม่เคยกอนร้านไหนแย่เท่าร้านนี้,-1
เลิกๆ อย่าขายเลย,-1
ไม่เคยกินร้านไหนแย่เท่าร้านนี้,-1
omg โคตรอร่อยย,1
กินแล้วเหมือนมีสายรุ้งออกมาจากปาก,1
อร่อยขนาดนี้ต้องไปตำ,1
สั่งอาหารหน่อยค่ะ,0
แกงปลาเหม็นคาวมาก,-1
อาหารแพงจัง,-1
ราคาคุ้มมากกก สั่งซ้ำแน่นอน,1
ร้านบรรยากาศดีมากเลย,1
อาหารรอนานมาก ไม่อยากรอแล้ว,-1
รสชาติห่วยแตกมาก,-1
ไม่อยากซื้อร้านนี้อีกแล้ว,-1
รสชาติไม่ได้เรื่องเลยค่ะ,-1
ข้าวนุ่มมาก อร่อยค่ะ,1
อยากกินหมูนุ่มม,0
หมูทอดกำลังดีเลยค่ะ,1
ทอดหมูไหม้เกินไปนะคะ แข็งมาก ฟันหัก,-1
ร้านเปิดไหม,0
ร้านปิดยัง,0
สั่งข้าวได้ไหมม,0
ร้านเปิดกี่โมงง,0
ส่งอาหารเร็วมากก,0
ขอช่องทางการจ่่ายตังหน่อย,0
ยังไม่หิวมากเท่าไหร่,1
ไม่ค่อยอร่อยเลยทำใหม่ไป,-1
กินแล้วอ้วน ไขมันเยอะ,-1
หงุดหงิดอะทำไมส่งช้า,-1
อร่อยดีค่ะ,1
ตอบหน่อยจะโมโหแล้วนะ,-1
จะมาสั่งอีกรอบนะคะ อร่อยมากเลยค่ะ,1
ไม่สั่งอีกรอบหรอกค่ะ,-1
คิดว่าอร่อยมากมั้ง,-1
ไม่อร่อยเลยค่ะ,-1
รสชาติไม่ค่อยเท่าไหร่แต่ราคาถูก,-1
แพงก็แพง จะขายใครคะไม่มีเงินซื้อ,-1
ขอเลื่อนสั่งอาหารเป็นพรุ่งนี้ได้ไหมคะ,0
มีคนแนะนำว่าอร่อยมากเลยมาลองดู,1
จองโต๊ะได้มั้ยคะ,0
ทำไมโต๊ะเต็มไวจัง,-1
พนักงานสุภาพน่ารักมากเลย,1
กับข้าวดีบรรยากาศโอเครวมๆคือดีค่ะ,1
คิดว่ารสชาติไม่อร่อยเท่าที่ควร,-1
คิดว่าร้านอื่นดีกว่า,-1
บริการแย่มาก,-1
อร่อยมากมั้งแกงจืดอะ,-1
ไม่อร่อยค่ะ,-1
อร่อยดี,1
อาหารอร่อยมาก,1
แกงจืดอร่อยดีค่ะ,1
แกงจืดไม่ค่อยอร่อย,-1
ไม่อร่อยเลยอะ,-1
อร่อยใช้ได้เลยย เยื่ยมยอด,1
มาส่งของเร็วมากก,1
ข้าวอร่อยมาก ไม่แข็งเลยย,1
กับข้าวน่ากินดี,1
เมนูมีหลายอย่างมากกก,1
hello,0
hi,0
วันนี้ขายมั้ย,0
จองโต๊ะได้ที่ไหนคะ,0
รอโต๊ะนานไหมคะ,0
รอโต๊ะนานมั้ยคะ,0
ไก่ย่างอร่อยดีค่ะ เนื้อนุ่มมาก,1
อาหารพอกินได้,1
พอกินได้นะ เฉยๆ,0
ดีค่ะ,1
ไม่ค่อยถูกปาก,-1
สั่งอาหารนานมั้ย,0
ตอนนี้คิวนานมั้ยคะ,0
หิวมากกกก,-1
ไม่อร่อยอย่าหาทำ,-1
ปิดร้านไปเถอะ,-1
หิวจังเลยยย,-1
ตกแต่งดูดี,1
มีโต๊ะว่างไหม,0
รสชาติเลิศมากก จะมาตำอีกนะคะ,1
มีอะไรอร่อยบ้าง,0
อร่อยถูกปากมากค่ะ,1
จะมากินอีกนะ,1
ดีจ้าาา,0
ร้านเปิดป่าว,0
ขนมอร่อยดีนะ,1
น่ากินมากกกก,1
อยากกินอีก เดี๋ยวจะมาสั่งใหม่,1
โมจินุ่มมากก ฟินนน,1
น่าทานมากๆ,1
ทำไมร้านอยู่ไกลจัง,-1
ร้านแคบจัง ไปแล้วไม่มีที่นั่งเลย,-1
ขนมน่าอร่อยจัง,1
มาตรฐานของร้านต่ำช้าลงไปทุกที,-1
ร้านได้มาตรฐาน สมราคาดี,1
รอนานเกิน,-1
ทำอาหารเร็วดี อร่อยด้วย,1
บอทใช้งานยากจัง,-1
อยากติดต่อเจ้าของร้านค่ะ,0
งงๆอ่ะ ต้องสั่งยังไง,0
ชอบขนมมาก น่ากิน,1
ไม่ค่อยชอบอาหารเลย,-1
ไม่อยากกินไม่น่่ากินเลยสักนิด,-1
มีเมนูอะไรแนะนำมั้ย,0
ไม่ชอบอาหารที่ทำเลย,-1
อาหารอร่อยมากเลย,1
สวัสดีค้าบบ,0
ร้านเปิดกี่โมง,0
เค้กส้มหอมน่ากินมากค่ะ,1
ร้านหุงข้าวแฉะเกินไปนะ,-1
รสชาติอร่อยดี,1
ชอบอาหารร้านนี้มาก,1
มีคนแนะนำมา มีเมนูอะไรบ้างคะ,0
มีอะไรกินบ้าง,0
ต้มยำอร่อยมากก,1
ไม่อร่อยเลยอ่ะ,-1
ไม่ชอบขนมเลย,-1
เมื่อไหร่จะมาส่งข้าวโว้ยยย,-1
หิวแล้วเนี่ย,-1
มาส่งช้าอาหารมากเลยค่ะ,-1
วันนี้อากาศดีจัง,1
สวัสดีค่ะ,0
น้องบอทน่ารักมากกก,1
ร้านจัดสวยมากเลยย,1
กล่องใส่เค้กน่ารักมากเลยค่ะ,1
เนื้อเค้กหวานพอดีเลย อร่อยมักๆ,1
จะกลับมาสั่งอีกนะคะ ชอบเค้กมากค่ะ,1
รอเป็นชาติละ จะได้กินตอนไหน,-1
นมบูดป่าววะ,-1
ส่งของเน่าๆมาทำไม ไม่กิน!,-1
แกงส้มใช้มะนาวอะไรขมมาก,-1
ทาร์ตไข่เลี่ยนจัง,-1
เค้กไม่ค่อยเลี่ยนเลย,1
โกโก้หวานเลี่ยนเกินไป,-1
คุณสวยจังงง,1
สุดยอดไปเลย,1
เลี่ยนมาก,-1
ร้านน่ารักมาก,1
ไอต้าวน่ารักดด,1
ดีจ้า,0
ข้าวผัดดีมากจ้า,1
บรรยากาศดีจ้า,1
แย่มากเจอแมลงสาบในอาหาร,-1
เจอแมลงสาบ,-1
ดีค่ะ,0
วันนี้อากาศดีค่ะ,1
หวานเกิ๊นนนน,-1
อารมณ์ดีเพราะมีความสุข,1
ร้านเปิดยัง,0
รอนานโคตร,-1
ไม่อยากใช้บริการแล้ว,-1
อาหารรสชาติโคตรเลี่ยน,-1
หาความอร่อยไม่เจอ,-1
ขอยกเลิกรายการค่ะ,-1
ปิดร้านไปทำอย่างอื่นขายเถอะ,-1
ยกเลิกออเดอร์ค่ะ,-1
ชานมหวานแบบเบาหวานขึ้น,-1
ร้านเปิดเวลาไหนบ้าง,0
รชชาติไม่ค่อยดีเท่าไหร่,-1
รู้งี้ไปกินร้านอื่นดีกว่า,-1
กินไม่ค่อยลง,-1
ว่าไงจ๊ะคนสวย,0
หวัดดีค่าาา,0
ดีค่ะ,0
ดีเกินนน,1
hello,0
hi,0
ข้าวผัดปูเค็มไปหน่อย,-1
บายยยย,0
ถามหาความอร่อยจากที่ไหนได้บ้าง,-1
ไม่อร่อยเลยค่ะ,-1
รออาหารไม่นาน,1
รสชาติดีมากก,1
ร้านมีเทสที่ดีนะคะ,1
ทอนเงินไม่ครบค่ะ,-1
ออเดอร์จะสามชั่วโมงแล้วค่ะ,-1
ทำช้าจัง,-1
รีบหน่อย,-1
ดีจ้า,0
อาหารค่อนข้างเลี่ยนนะ,-1
น้ำหวานเกินไป,-1
ขนมดีเกินไปมั้ยชอบมาก,1
อร่อยมากเลย,1
รถติดหรอคะมาช้าจัง,-1
คนหน้าตาดีเค้าชอบกินอาหารรสชาติดี,1
ดีจ้า,0
วันนี้มีไรกินบ้าง,0
ที่จอดรถหาไม่ได้เลย,-1
หน้าตาไม่ดีเลย,-1
ผัดเผ็ดรสชาติแหวะมาก,-1
จริงๆทำอร่อยนะคะแต่อร่อยกว่านี้ได้อีก,1
พอกันทีกับร้านนี้,-1
เลิกกินค่ะ,-1
ชาเย็นอร่อยจังเลยค่ะ,1
เครปเค้กโคตรเลี่ยนนนน,-1
อร่อยได้แค่นี้หรอ,-1
ดีค่ะ,0
ร้านเปิดแล้วยัง,0
ขอจองโต๊ะหน่อย,0
สภาพข้าวผัดดูไม่ได้เลย,-1
ทำไมมาส่งช้าจังคะ,-1
บริการแย่,-1
ร้านบรรยากาศดีมาก,1
ไม่อึดอัดเลยค่ะ,1
อาหารอร่อยถูกปากมาก,1
ถูกปากมากเลยย,1
ร้านนั่งชิวมาก,1
จะมาอีกแน่นอน,1
ประทับใจค่ะ,1
